Name,Notiz,Produzent,Herkunft,Einheit
Buchweizen Drink Natur Pur ,"bio, glutenfrei",Hofgut Storzeln,"Deutschland, grad ennet der Grenze",5x1l
Dinkel Drink Natur Pur ,bio,Hofgut Storzeln,"Deutschland, grad ennet der Grenze",5x1l
Hafer Drink Natur Pur ,bio,Hofgut Storzeln,"Deutschland, grad ennet der Grenze",5x1l
Soja Drink Natur + Calcium ,bio,Hofgut Storzeln,"Deutschland, grad ennet der Grenze",5x1l
Kokosmilchpulver,Bio,Lemberona,Sri Lanka,500g
"Süssmost, bag in box",bio-dynamisch,StadtLandWinti,Zünikon und Neftenbach,5l
