Name,Notiz,Produzent,Herkunft,Einheit
Linsen (braun),Knospe,biofarm,Schweiz,1kg
Linsen (schwarz),Knospe,biofarm,Schweiz,1kg
Kichererbsen gekocht,,Libera Terra,Italien,300g
Linsen (rot),,Orliva,Spanien (Katalonien),1kg
Linsen (grün),bio-dynamisch,StadtLandWinti,Zünikon und Neftenbach,1kg
Ceci neri Bio origine Italia,,Terra Verde,Italien,500g
